"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"100"	"103120505"	"2009-06-29 00:00:00.000"	56	"M"	"S"	"N"	0	"4050-538"	"PORTO"	"PORTO"
"101"	"103235035"	"2008-11-17 00:00:00.000"	72	"F"	"S"	"N"	0	"4815-106"	"BRAGA"	"ÍNFIAS"
"102"	"103256318"	"2011-11-24 00:00:00.000"	59	"M"	""	"N"	0	"4300-200"	"PORTO"	"PORTO"
"103"	"103322183"	"2008-10-02 00:00:00.000"	68	"F"	"S"	"Y"	3	"4350-319"	"PORTO"	"PORTO"
"104"	"103593829"	"2009-06-12 00:00:00.000"	82	"F"	""	"N"	0	"4150-152"	"PORTO"	"PORTO"
"105"	"103595139"	"2014-07-03 00:00:00.000"	74	"F"	""	"N"	0	"4490-647"	"PORTO"	"PÓVOA DE VARZIM"
"106"	"103625372"	"2008-01-01 00:00:00.000"	55	"M"	"M"	"N"	0	"4250-007"	"PORTO"	"PORTO"
"107"	"103641777"	"2009-04-07 00:00:00.000"	57	"F"	""	"N"	0	"4430-024"	"PORTO"	"V.N.GAIA"
"108"	"103662600"	"2009-10-23 00:00:00.000"	57	"F"	"S"	"Y"	2	"4200-216"	"PORTO"	"PORTO"
"109"	"103662936"	"2009-04-24 00:00:00.000"	61	"F"	"M"	"Y"	1	"4430-561"	"PORTO"	"V.N.GAIA"
"110"	"103663118"	"2012-10-12 00:00:00.000"	56	"M"	"M"	"Y"	2	"4050-077"	"PORTO"	"PORTO"
"111"	"103674829"	"2011-10-07 00:00:00.000"	72	"M"	""	"Y"	1	"4200-291"	"PORTO"	"PORTO"
"112"	"103691936"	"2010-05-16 00:00:00.000"	80	"M"	"M"	"Y"	1	"4250-204"	"PORTO"	"PORTO"
"113"	"103692193"	"2009-03-12 00:00:00.000"	57	"M"	""	"N"	0	"4150-662"	"PORTO"	"PORTO"
"114"	"103751211"	"2008-10-31 00:00:00.000"	69	"F"	"M"	"Y"	1	"4535-331"	"OUTROS"	"PAÇOS DE BRANDÃO"
"115"	"103774920"	"2010-09-14 00:00:00.000"	58	"F"	""	"Y"	1	"4150"	"PORTO"	"PORTO"
"116"	"103775498"	"2013-07-10 00:00:00.000"	69	"F"	"M"	"N"	0	"4415-363"	"PORTO"	"PEDROSO"
"117"	"103862234"	"2010-12-10 00:00:00.000"	63	"F"	"S"	"N"	0	"4000-212"	"PORTO"	"PORTO"
"118"	"103863400"	"2014-01-30 00:00:00.000"	48	"F"	""	"N"	0	"4700-446"	"BRAGA"	"BRAGA"
"119"	"103877835"	"2012-10-12 00:00:00.000"	71	"M"	"S"	"N"	0	"4460-247"	"PORTO"	"SENHORA DA HORA"
"120"	"104031999"	"2013-01-31 00:00:00.000"	55	"M"	"M"	"Y"	2	"4400-007"	"PORTO"	"V.N.GAIA"
"121"	"104032758"	"2008-08-15 00:00:00.000"	73	"M"	"S"	"N"	0	"4050-379"	"PORTO"	"PORTO"
"122"	"104076127"	"2011-03-09 00:00:00.000"	74	"M"	"M"	"N"	0	"4350-276"	"PORTO"	"PORTO"
"123"	"104077948"	"2009-02-11 00:00:00.000"	60	"M"	""	"Y"	3	"4300-055"	"PORTO"	"PORTO"
"124"	"104078057"	"2009-04-06 00:00:00.000"	68	"M"	""	"N"	0	"4400-044"	"PORTO"	"V.N.GAIA"
